path	topic	title	last_modified	words	recommendation
blogging/embed-diagrams/diagrams-mindnode.mdx	blogging	Embedded MindNode Diagrams	2026-06-01	0	delete?
blogging/embed-external-components/html.mdx	blogging	Embedded HTML	2026-06-01	0	delete?
blogging/embed-external-components/images-pngs.mdx	blogging	Embedded PNGs	2026-06-01	2	delete?
blogging/embed-structural-components/adding-frontmatter.mdx	blogging	Frontmatter	2026-06-01	7	delete?
blogging/documentation-techniques/leveraging-google-app-scripts.mdx	blogging	Leveraging Google App Scripts	2026-06-01	13	keep
blogging/habits-blogging.mdx	blogging	✍️ Blogging	2026-06-01	664	publish?
companies/culture/2025-09-25-understanding-zapier-values.md	companies	⚡ Zapier's Values	2026-06-01	1177	publish?
entrepreneurship/learning-business.md	entrepreneurship	Learning Business	2026-06-01	15	keep
entrepreneurship/habits-entrepreneurship.mdx	entrepreneurship	🚀 Entrepreneurship	2026-06-01	376	publish?
faith/apps/hifz-graph.md	faith	Hifz Graph	2026-06-01	12	keep
faith/apps/prayer-tracking-apple-watch-app.md	faith	Prayer Tracking Apple Watch App	2026-06-01	272	publish?
faith/automations/automate-athan-player.md	faith	Automate Athan Player	2026-06-01	117	publish?
faith/automations/automate-quran-player.md	faith	Automate Quran Player	2026-06-01	67	publish?
faith/automations/automate-tasbeeh-tracking.md	faith	Automate Tasbeeh Tracking	2026-06-01	496	publish?
faith/habits-growing-spiritually.mdx	faith	🕌 Growing Spiritually	2026-06-01	827	publish?
generative-ai/my-genai-workflow/2025-09-30-how-i-use-genai.md	generative-ai	🤖 How I Use GenAI	2026-06-01	228	publish?
generative-ai/my-genai-workflow/2025-09-30-my-personal-mcp-setup.md	generative-ai	🔧 My Personal MCP Setup	2026-06-01	434	publish?
generative-ai/my-genai-workflow/2025-09-30-tinkering-with-rag.md	generative-ai	🔍 Tinkering with RAG	2026-06-01	390	publish?
generative-ai/my-genai-workflow/initiatives/llm-move.mdx	generative-ai	LLM Move Initiative	2026-06-01	72	publish?
generative-ai/my-genai-workflow/initiatives/llm-plant.mdx	generative-ai	LLM Plant Initiative	2026-06-01	164	publish?
generative-ai/my-genai-workflow/initiatives/llm-productivity-tools.mdx	generative-ai	LLM Productivity Tools Initiative	2026-06-01	122	publish?
interview-prep/prompts/star-story-author.md	interview-prep	Star Story Author	2026-06-01	12	keep
interview-prep/coding-challenges/solutions/README.mdx	interview-prep	👉🏻 Start Here	2026-06-01	1	keep-flesh
personal-growth/habits-building-habits.mdx	personal-growth	🏗️ Building Habits	2026-06-01	438	publish?
personal-growth/habits-content-discovery.mdx	personal-growth	🔍 Discovering Content	2026-06-01	478	publish?
personal-growth/habits-developing.mdx	personal-growth	💻 Developing	2026-06-01	420	publish?
personal-growth/habits-growing-personally.mdx	personal-growth	🌱 Growing Personally	2026-06-01	593	publish?
personal-growth/habits-growing-professionally.mdx	personal-growth	📈 Growing Professionally	2026-06-01	589	publish?
personal-growth/habits-maintaining-health.mdx	personal-growth	💪 Maintaining Health	2026-06-01	442	publish?
personal-growth/habits-managing-finances.mdx	personal-growth	💰 Managing Finances	2026-06-01	477	publish?
personal-growth/habits-mastering.mdx	personal-growth	📈 Mastering	2026-06-01	589	publish?
personal-growth/habits-mentorship.mdx	personal-growth	👥 Mentorship	2026-06-01	503	publish?
personal-growth/habits-pursuing-interests.mdx	personal-growth	🎨 Pursuing Interests	2026-06-01	455	publish?
personal-growth/habits-reading.mdx	personal-growth	📚 Reading	2026-06-01	322	publish?
personal-growth/habits-reflecting.mdx	personal-growth	🤔 Reflecting	2026-06-01	384	publish?
personal-growth/habits-tinkering.mdx	personal-growth	🔧 Tinkering	2026-06-01	372	publish?
product-management/ideas/my-first-intellij-plugin.mdx	product-management	My First IntelliJ Plugin	2026-06-01	7	delete?
product-management/ideas/my-first-react-app.mdx	product-management	My First React App	2026-06-01	9	delete?
product-management/ideas/tinker-browser-automation.md	product-management	Tinkering with Browser Automation	2026-06-01	15	keep
product-management/roadmaps/automation-hub-enhancements.mdx	product-management	Automation Hub Enhancements	2026-06-01	26	keep
product-management/roadmaps/jira-setup-enhancements.mdx	product-management	Jira Setup Enhancements	2026-06-01	19	keep
product-management/roadmaps/profile-enhancements.mdx	product-management	Profile Enhancements	2026-06-01	16	keep
product-management/ideas/README.md	product-management	Ideas	2026-06-01	0	keep-flesh
product-management/roadmaps/README.md	product-management	Roadmaps	2026-06-01	14	keep-flesh
product-management/experiments/_TEMPLATE.md	product-management	<Experiment title>	2026-06-01	432	publish?
product-management/experiments/2026-05-31-support-button-copy.md	product-management	Support button copy	2026-06-01	886	publish?
product-management/ideas/my-first-ios-app.md	product-management	My First iOS App	2026-06-01	131	publish?
product-management/ideas/my-first-mac-menubar-app.md	product-management	My First Mac Menu Bar App	2026-06-01	67	publish?
product-management/ideas/my-first-noteplan-plugin.mdx	product-management	My First NotePlan Plugin	2026-06-01	341	publish?
product-management/ideas/unorganized-software-development-ideas.md	product-management	Unorganized Software Development Ideas	2026-06-01	339	publish?
product-management/ideas/unorganized-tool-script-development-ideas.md	product-management	Unorganized Tool and Script Development Ideas	2026-06-01	425	publish?
product-management/research/learning-software.md	product-management	Learning Software	2026-06-01	336	publish?
product-management/roadmaps/vscode-plugin-enhancements.mdx	product-management	VSCode Plugin Enhancements	2026-06-01	60	publish?
productivity/discovering/discovering-tools.mdx	productivity	Discovering Tools	2026-06-01	4	delete?
productivity/analyzing/analyzing-popularity.mdx	productivity	Analyzing Popularity	2026-06-01	30	keep
productivity/dashboards/habit-board.md	productivity	Habit Board	2026-06-01	11	keep
productivity/dashboards/metric-tracker.md	productivity	Metric Tracker	2026-06-01	30	keep
productivity/vocabulary/acronyms.mdx	productivity	Acronyms	2026-06-01	29	keep
productivity/apps/build-a-kanban-board.md	productivity	Build a Kanban Board	2026-06-01	948	publish?
productivity/apps/develop-an-initiative-calendar-app.md	productivity	Develop an Initiative Calendar App	2026-06-01	172	publish?
productivity/dashboards/adoption-tracker.md	productivity	Adoption Tracker	2026-06-01	212	publish?
productivity/dashboards/budget-tracker.md	productivity	Budget Tracker	2026-06-01	55	publish?
productivity/dashboards/dashboard.md	productivity	Dashboard	2026-06-01	1016	publish?
productivity/discovering/discovering-content.mdx	productivity	Finding Educational Content	2026-06-01	48	publish?
productivity/habits-consolidating.mdx	productivity	🔗 Consolidating	2026-06-01	465	publish?
productivity/habits-managing-time.mdx	productivity	⏰ Managing Time	2026-06-01	502	publish?
productivity/habits-organizing.mdx	productivity	🗂️ Organizing	2026-06-01	623	publish?
productivity/habits-planning.mdx	productivity	📋 Planning	2026-06-01	446	publish?
productivity/habits-prioritizing.mdx	productivity	🎯 Prioritizing	2026-06-01	754	publish?
productivity/habits-process-engineering.mdx	productivity	⚙️ Process Engineering	2026-06-01	395	publish?
