# topic-migration-map.tsv — T4 review artifact for the docs topic restructure
#
# One row per doc (289 total). Columns are TAB-separated:
#   current_rel  : path under bytesofpurpose-blog/docs/
#   route        : frozen absolute URL (Phase A) — UNCHANGED by any move
#   draft        : 1 if draft:true (excluded from prod build)
#   isReadme     : 1 if README/index (category landing)
#   inbound      : count of /docs/ body links pointing at this doc's route
#   topic        : target topic (NN-topic code)
#   sub          : sub-group hint (prompts | vocabulary | roles | culture | skills | '')
#   note         : rationale / flags
#   title        : doc title (truncated)
#   target_path  : PROPOSED destination under docs/ (refined per-topic in Phase D)
#
# SAFETY: every doc's slug is frozen to an absolute /docs route (Phase A), so moving a
# file changes ONLY its sidebar position, never its URL. Each Phase-D move is verified
# by asserting the route-manifest diff vs baseline is EMPTY.
#
# 10 topics (counts): generative-ai 18 · development 100 · productivity 40 · blogging 59
#   · scripting 9 · interview-prep 23 · companies 12 · entrepreneurship 2 · faith 6
#   · personal-growth 13. Plus 7 no-move: welcome (root) + 6 dissolving bucket READMEs
#   (definitions/craftsmanship/techniques/skills/prompts indexes — content rehomed in T13/T14).
#
# DECISIONS locked with Omar (T4):
#   - career-levels + skills cluster -> Companies/{roles,skills} (NOT interview-prep);
#     instead ADD a new interview-prep doc that references level/skill differences as prep.
#   - refining-soft-skills -> Companies/skills (general employee skills subfolder).
#   - habits-mastering + habits-managing-finances -> Personal Growth.
#   - author-tooling prompts (evals/heal/meta/refactor/author) -> Blogging/prompts;
#     reader prompts distributed (analyze->dev, draw/organize->productivity, star-story->interview).
#   - vocabulary consolidated: CLI/dev/PM/acronyms/emojis -> Productivity; blog/portfolio -> Development.
#
# OPEN per-topic refinements (decided DURING the Phase-D move of each topic, by eyeballing
# the sidebar — target_path here is the starting proposal, not final):
#   - Drop redundant topic-echoing sub-folders (e.g. 3-productivity/organization-techniques/,
#     4-blogging/blogging-techniques/, 5-scripting/scripting-techniques/) where the
#     "-techniques" framing word is now implied by the topic. Keep genuinely useful
#     sub-groups (e.g. blogging/{embed-diagrams,embed-code,adding-content}).
#   - GenAI pulls from 6 source roots -> regroup its 18 docs into ~3 clean sub-groups
#     (e.g. fundamentals / building-systems / my-genai-workflow) instead of echoing the
#     old folder names (understanding-the-genai-domain, tinkering, initiatives, ...).
#   - Faith: reframe backend-projects/home-automation nesting to faith-centric grouping.
#   - Bucket-A broken category links + numeric prefixes + _category_.json labels: T14.
#
current_rel	route	draft	isReadme	inbound	topic	sub	note	title	target_path
1-welcome/README.md	/docs/welcome/intro	0	1	0	(none)		WELCOME stays at root	Welcome to Bytes of Purpose	(no-move)
10-prompts/analyze/sql-query-analyzer.md	/docs/prompts/analyze/sql-query-analyzer	0	0	0	02-development	prompts		SQL Query Analyzer	2-development/prompts/sql-query-analyzer.md
10-prompts/author/blog-post-author.md	/docs/prompts/author/blog-post-author	0	0	0	04-blogging	prompts		Blog Post Author	4-blogging/prompts/blog-post-author.md
10-prompts/author/star-story-author.md	/docs/prompts/author/star-story-author	1	0	0	06-interview-prep	prompts	STAR stories = interview	Star Story Author	6-interview-prep/prompts/star-story-author.md
10-prompts/draw/kanban-board-customization.md	/docs/prompts/draw/kanban-board-customization	0	0	0	03-productivity	prompts		Kanban Board Customization	3-productivity/prompts/kanban-board-customization.md
10-prompts/evals/all-posts/audience-impression-check.md	/docs/prompts/evals/all-posts/audience-impression-check	0	0	0	04-blogging	prompts	author-tooling prompt	Audience Impression Check	4-blogging/prompts/audience-impression-check.md
10-prompts/evals/all-posts/evaluating-blog-personality.md	/docs/prompts/evals/all-posts/evaluating-blog-personality	0	0	0	04-blogging	prompts	author-tooling prompt	Evaluating Blog Personality	4-blogging/prompts/evaluating-blog-personality.md
10-prompts/evals/all-posts/evaluating-content-quality.md	/docs/prompts/evals/all-posts/evaluating-content-quality	0	0	0	04-blogging	prompts	author-tooling prompt	Evaluating Content Quality	4-blogging/prompts/evaluating-content-quality.md
10-prompts/evals/all-posts/general-blog-evaluation.md	/docs/prompts/evals/all-posts/general-blog-evaluation	0	0	0	04-blogging	prompts	author-tooling prompt	General Blog Post Evaluation	4-blogging/prompts/general-blog-evaluation.md
10-prompts/evals/README.md	/docs/prompts/evals/blog-post-evaluation-system	0	1	0	04-blogging	prompts	author-tooling prompt	Blog Post Evaluation System	4-blogging/prompts/README.md
10-prompts/evals/specific-posts/evaluating-docs-vs-blogs.md	/docs/prompts/evals/specific-posts/evaluating-docs-vs-blogs	0	0	0	04-blogging	prompts	author-tooling prompt	Evaluating Docs vs Blogs Blog Post	4-blogging/prompts/evaluating-docs-vs-blogs.md
10-prompts/evals/specific-posts/evaluating-my-approach.md	/docs/prompts/evals/specific-posts/evaluating-my-approach	0	0	0	04-blogging	prompts	author-tooling prompt	Evaluating My Approach Blog Post	4-blogging/prompts/evaluating-my-approach.md
